episode,total_reward,total_benefit,total_cost,total_risk
245,-7.0,10.0,-13.0,-36.0
246,-2.0,10.0,-13.0,-33.0
247,-7.0,10.0,-13.0,-36.0
248,-12.0,10.0,-13.0,-39.0
249,-7.0,10.0,-13.0,-33.0
250,-12.0,10.0,-13.0,-39.0
251,-21.0,10.0,-17.0,-51.0
252,-20.0,10.0,-21.0,-60.0
253,-24.0,10.0,-15.0,-51.0
254,-9.0,10.0,-15.0,-42.0
255,-12.0,10.0,-13.0,-36.0
256,-2.0,10.0,-13.0,-33.0
257,-7.0,10.0,-13.0,-36.0
258,-7.0,10.0,-13.0,-36.0
259,-4.0,10.0,-15.0,-39.0
260,-18.0,10.0,-19.0,-57.0
261,-9.0,10.0,-15.0,-42.0
262,-6.0,10.0,-17.0,-42.0
263,-7.0,10.0,-13.0,-36.0
264,-6.0,10.0,-17.0,-42.0
265,-2.0,10.0,-13.0,-33.0
266,-10.0,10.0,-21.0,-57.0
267,-26.0,10.0,-17.0,-51.0
268,-11.0,10.0,-17.0,-48.0
269,-9.0,10.0,-15.0,-39.0
270,-27.0,10.0,-13.0,-48.0
271,-12.0,10.0,-13.0,-36.0
272,-6.0,10.0,-17.0,-42.0
273,-7.0,10.0,-13.0,-33.0
274,-14.0,10.0,-15.0,-36.0
275,-14.0,10.0,-15.0,-42.0
276,-14.0,10.0,-15.0,-42.0
277,-9.0,10.0,-15.0,-36.0
278,-16.0,10.0,-17.0,-48.0
279,-21.0,10.0,-17.0,-54.0
280,-4.0,10.0,-15.0,-39.0
281,-9.0,10.0,-15.0,-42.0
282,-2.0,10.0,-13.0,-33.0
283,-6.0,10.0,-17.0,-42.0
284,-8.0,10.0,-19.0,-48.0
285,-20.0,10.0,-21.0,-57.0
286,-12.0,10.0,-13.0,-39.0
287,-2.0,10.0,-13.0,-33.0
288,-14.0,10.0,-15.0,-45.0
289,-4.0,10.0,-15.0,-36.0
290,-32.0,10.0,-13.0,-51.0
291,-7.0,10.0,-13.0,-36.0
292,-17.0,10.0,-13.0,-42.0
293,-9.0,10.0,-15.0,-42.0
294,-25.0,10.0,-21.0,-60.0
295,-2.0,10.0,-13.0,-33.0
296,-2.0,10.0,-13.0,-33.0
297,-14.0,10.0,-15.0,-45.0
298,-9.0,10.0,-15.0,-42.0
299,-9.0,10.0,-15.0,-42.0
300,-9.0,10.0,-15.0,-39.0
